date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1985-03-01,1.1251198856066402,1.1251198856066402,NA,NA,1985-02-24,9.798040836020405,0.15537593096661695,0.58,-0.49,1985-03-01
1985-03-04,-0.6405880369843686,-0.6405880369843686,NA,NA,1985-03-03,9.798040836020405,0.15537593096661695,0.58,-0.47,1985-03-01
1985-03-05,0.09333114559275657,0.09333114559275657,NA,NA,1985-03-03,9.798040836020405,0.15537593096661695,0.58,-0.47,1985-03-01
1985-03-06,-0.8708179167427943,-0.8708179167427943,NA,NA,1985-03-03,9.798040836020405,0.15537593096661695,0.58,-0.47,1985-03-01
1985-03-07,-0.6330535550875815,-0.6330535550875815,NA,NA,1985-03-03,9.798040836020405,0.15537593096661695,0.58,-0.47,1985-03-01
1985-03-08,-0.22865462618737453,-0.22865462618737453,NA,NA,1985-03-03,9.798040836020405,0.15537593096661695,0.58,-0.47,1985-03-01
1985-03-11,-0.17324489558525613,-0.17324489558525613,NA,NA,1985-03-10,9.798040836020405,0.15537593096661695,0.58,-0.45,1985-03-01
1985-03-12,0.4854304453687064,0.4854304453687064,NA,NA,1985-03-10,9.798040836020405,0.15537593096661695,0.58,-0.45,1985-03-01
1985-03-13,-0.8215790102039655,-0.8215790102039655,NA,NA,1985-03-10,9.798040836020405,0.15537593096661695,0.58,-0.45,1985-03-01
1985-03-14,-0.19661607994851948,-0.19661607994851948,NA,NA,1985-03-10,9.798040836020405,0.15537593096661695,0.58,-0.45,1985-03-01
1985-03-15,-0.7393419227380349,-0.7393419227380349,NA,NA,1985-03-10,9.798040836020405,0.15537593096661695,0.58,-0.45,1985-03-01
1985-03-18,0.19807368805100367,0.19807368805100367,NA,NA,1985-03-17,9.798040836020405,0.15537593096661695,0.58,-0.44,1985-03-01
1985-03-19,1.4926420523073247,1.4926420523073247,NA,NA,1985-03-17,9.798040836020405,0.15537593096661695,0.58,-0.44,1985-03-01
1985-03-20,-0.25653407990580135,-0.25653407990580135,NA,NA,1985-03-17,9.798040836020405,0.15537593096661695,0.58,-0.44,1985-03-01
1985-03-21,0.15065928914737015,0.15065928914737015,NA,NA,1985-03-17,9.798040836020405,0.15537593096661695,0.58,-0.44,1985-03-01
1985-03-22,-0.17300319662254537,-0.17300319662254537,NA,NA,1985-03-17,9.798040836020405,0.15537593096661695,0.58,-0.44,1985-03-01
